"","Line","UWC","Region","State","Segment","FirstQuoteYear","FirstEffYear","mnln_cd","coast_ind","earlyshop_mth_bkt","SPRNKL_IND_bkt","SUM_BLD_SQFTAGE_bkt","LOC_BLD_AGE_bkt","bld_ind"
"1","CMP","HUNT VALLEY","MID-ATLANTIC","VA","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"2","CMP","KANSAS CITY","SOUTH CENTRAL","MO","BUILDING","2018","2018","MPAC","N","b.1","b.N","e.11300+","b.<25","1"
"6","CMP","NAPERVILLE","CENTRAL","TN","OFFICE","2017","2018","MULTI","N","d.3","b.N","b.<1800","c.<40","1"
"7","CMP","CHARLOTTE","SOUTHERN","AL","OFFICE","2017","2018","MPAC","N","c.2","b.N","b.<1800","d.<70","0"
"8","CMP","NAPERVILLE","CENTRAL","IL","APARTMENTS","2017","2018","MPAC","N","b.1","b.N","d.<11300","d.<70","1"
"9","CMP","HARTFORD","NORTHEAST","NY","BUSINESS","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"10","CMP","BRAINTREE","NORTHEAST","MA","CONTRACTORS","2017","2017","MPAC","Y","d.3","b.N","b.<1800","e.70+","0"
"11","CMP","KANSAS CITY","CENTRAL","SD","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","b.<25","1"
"13","CMP","HARTFORD","NORTHEAST","NY","GARAGE","2017","2017","MPAC","N","d.3","b.N","b.<1800","c.<40","0"
"14","CMP","HARTFORD","NORTHEAST","NY","OFFICE","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"15","CMP","CHARLOTTE","SOUTHERN","TN","OFFICE","2017","2017","MULTI","N","c.2","b.N","c.<4250","e.70+","1"
"17","CMP","BRAINTREE","NORTHEAST","MA","STORE","2017","2017","MPAC","Y","c.2","a.Y","b.<1800","d.<70","0"
"18","CMP","BRAINTREE","NORTHEAST","NH","BUILDING","2017","2017","MPAC","N","c.2","b.N","d.<11300","c.<40","1"
"19","CMP","BRAINTREE","NORTHEAST","VT","BUILDING","2016","2016","MPAC","N","b.1","b.N","d.<11300","e.70+","1"
"20","CMP","DENVER","WESTERN","AZ","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","b.<15","1"
"21","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2017","2017","MULTI","N","c.2","a.Y","b.<1800","e.70+","0"
"22","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2017","2017","MPAC","N","c.2","b.N","b.<1800","d.<70","0"
"24","CMP","BRAINTREE","NORTHEAST","MA","OFFICE","2016","2016","MPAC","N","b.1","b.N","b.<1800","e.70+","0"
"26","CMP","DENVER","WESTERN","WA","TECH OFFICE","2016","2016","MPAC","N","c.2","a.Y","b.<1800","c.<40","0"
"27","CMP","BRAINTREE","NORTHEAST","MA","OFFICE","2016","2016","MPAC","N","c.2","b.N","b.<1800","b.<15","0"
"30","CMP","CHARLOTTE","SOUTHERN","TN","STORE","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"31","CMP","NAPERVILLE","CENTRAL","OH","GARAGE","2017","2017","MPAC","N","b.1","b.N","b.<1800","d.<70","0"
"32","CMP","DENVER","WESTERN","AZ","BUILDING","2017","2017","MPAC","N","a.0","b.N","c.<4250","c.<40","1"
"33","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2017","2017","MULTI","N","d.3","b.N","c.<4250","b.<25","1"
"34","CMP","BRAINTREE","NORTHEAST","ME","STORE","2016","2016","MPAC","Y","b.1","b.N","b.<1800","e.70+","0"
"35","CMP","BRAINTREE","NORTHEAST","MA","BUILDING","2016","2016","MPAC","N","b.1","b.N","b.<1800","d.<70","1"
"36","CMP","BRAINTREE","NORTHEAST","MA","TECH OFFICE","2017","2017","MPAC","Y","b.1","b.N","b.<1800","d.<70","0"
"37","CMP","HARTFORD","NORTHEAST","CT","BUILDING","2016","2016","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"38","CMP","BRAINTREE","NORTHEAST","MA","STORE","2017","2017","MULTI","N","b.1","b.N","c.<4250","e.70+","1"
"41","CMP","NAPERVILLE","CENTRAL","OK","BUSINESS","2017","2017","MPAC","N","b.1","b.N","c.<4250","b.<25","1"
"44","CMP","CHARLOTTE","SOUTHERN","TN","CONTRACTORS","2015","2017","MULTI","N","f.others","b.N","b.<1800","d.<70","0"
"45","CMP","BRAINTREE","NORTHEAST","MA","RESTAURANTS","2016","2016","MPAC","N","a.0","b.N","b.<1800","d.<70","1"
"46","CMP","CHARLOTTE","SOUTHERN","TN","STORE","2016","2016","MULTI","N","d.3","b.N","b.<1800","d.<70","1"
"48","CMP","HARTFORD","NORTHEAST","NY","STORE","2016","2016","MULTI","N","b.1","b.N","e.11300+","c.<40","1"
"49","CMP","HUNT VALLEY","MID-ATLANTIC","DC","CONDOMINIUMS","2016","2016","MPAC","N","a.0","b.N","e.11300+","d.<70","1"
"50","CMP","BRAINTREE","NORTHEAST","ME","BUSINESS","2016","2017","MPAC","Y","f.others","b.N","b.<1800","d.<70","0"
"51","CMP","BRAINTREE","NORTHEAST","ME","BUSINESS","2016","2017","MPAC","Y","f.others","b.N","b.<1800","d.<70","0"
"52","CMP","KANSAS CITY","CENTRAL","NE","GARAGE","2017","2017","MULTI","N","b.1","b.N","b.<1800","d.<70","0"
"53","CMP","CHARLOTTE","SOUTHERN","TN","RESTAURANTS","2016","2016","MULTI","N","e.4","a.Y","b.<1800","b.<25","0"
"54","CMP","DENVER","WESTERN","UT","RESTAURANTS","2016","2016","MULTI","N","c.2","b.N","b.<1800","b.<25","0"
"55","CMP","KANSAS CITY","CENTRAL","NE","GARAGE","2016","2016","MULTI","N","c.2","b.N","b.<1800","c.<40","0"
"57","CMP","HARTFORD","NORTHEAST","CT","BUSINESS","2016","2016","MULTI","Y","e.4","b.N","b.<1800","b.<15","0"
"58","CMP","BRAINTREE","NORTHEAST","MA","OFFICE","2016","2016","MPAC","Y","b.1","b.N","d.<11300","b.<15","1"
"59","CMP","HUNT VALLEY","MID-ATLANTIC","PA","RESTAURANTS","2016","2016","MULTI","N","f.others","b.N","b.<1800","d.<70","0"
"60","CMP","HARTFORD","NORTHEAST","NY","STORE","2016","2018","MPAC","N","f.others","b.N","c.<4250","e.70+","1"
"61","CMP","HUNT VALLEY","MID-ATLANTIC","PA","APARTMENTS","2016","2017","MULTI","N","f.others","b.N","e.11300+","d.<70","1"
"64","CMP","BRAINTREE","NORTHEAST","MA","RESTAURANTS","2016","2016","MULTI","Y","b.1","b.N","b.<1800","d.<70","0"
"65","CMP","DENVER","WESTERN","AZ","OFFICE","2016","2017","MULTI","N","d.3","b.N","b.<1800","d.<70","0"
"66","CMP","NAPERVILLE","CENTRAL","IL","STORE","2017","2017","MULTI","N","b.1","b.N","b.<1800","d.<70","1"
"71","CMP","WALNUT CREEK","CALIFORNIA","CA","STORE","2016","2017","MPAC","N","b.1","b.N","b.<1800","e.70+","0"
"72","CMP","METRO","NORTHEAST","NY","APARTMENTS","2016","2017","MULTI","N","f.others","b.N","e.11300+","e.70+","1"
"74","CMP","DENVER","WESTERN","AZ","STORE","2016","2017","MPAC","N","d.3","b.N","b.<1800","e.70+","0"
"75","CMP","METRO","NORTHEAST","NY","STORE","2016","2016","MULTI","Y","c.2","b.N","b.<1800","d.<70","0"
"76","CMP","DENVER","WESTERN","MT","BUILDING","2016","2017","MPAC","N","f.others","b.N","c.<4250","e.70+","1"
"77","CMP","HARTFORD","NORTHEAST","NY","STORE","2016","2017","MULTI","N","d.3","b.N","d.<11300","c.<40","1"
"78","CMP","HUNT VALLEY","MID-ATLANTIC","MD","CONTRACTORS","2016","2016","MULTI","N","c.2","b.N","b.<1800","c.<40","0"
"79","CMP","NAPERVILLE","CENTRAL","WI","CONDOMINIUMS","2017","2017","MULTI","N","d.3","b.N","e.11300+","c.<40","1"
"82","CMP","DENVER","WESTERN","AZ","STORE","2016","2016","MULTI","N","b.1","b.N","b.<1800","c.<40","0"
"83","CMP","KANSAS CITY","SOUTH CENTRAL","OK","OFFICE","2017","2018","MULTI","N","b.1","b.N","c.<4250","d.<70","1"
"85","CMP","BRAINTREE","NORTHEAST","MA","BUILDING","2017","2017","MPAC","Y","b.1","a.Y","e.11300+","e.70+","1"
"87","CMP","METRO","NORTHEAST","NY","BUILDING","2016","2018","MPAC","N","f.others","b.N","d.<11300","e.70+","1"
"88","CMP","NAPERVILLE","CENTRAL","IN","OFFICE","2016","2016","MULTI","N","b.1","b.N","b.<1800","d.<70","0"
"90","CMP","NAPERVILLE","CENTRAL","IL","STORE","2016","2016","MPAC","N","b.1","b.N","b.<1800","e.70+","0"
"91","CMP","HARTFORD","NORTHEAST","NY","BUSINESS","2016","2017","MPAC","N","b.1","b.N","c.<4250","c.<40","1"
"92","CMP","NAPERVILLE","CENTRAL","MI","TECH OFFICE","2016","2016","MULTI","N","b.1","b.N","b.<1800","b.<25","0"
"93","CMP","DENVER","WESTERN","NV","GARAGE","2016","2017","MULTI","N","f.others","a.Y","b.<1800","c.<40","0"
"95","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUILDING","2016","2017","MPAC","N","e.4","a.Y","e.11300+","b.<15","1"
"97","CMP","NAPERVILLE","CENTRAL","IL","CONDOMINIUMS","2017","2017","MULTI","N","d.3","b.N","e.11300+","c.<40","1"
"98","CMP","CHARLOTTE","SOUTHERN","TN","BUILDING","2016","2017","MPAC","N","f.others","b.N","e.11300+","c.<40","1"
"99","CMP","HUNT VALLEY","MID-ATLANTIC","PA","APARTMENTS","2016","2016","MPAC","N","f.others","a.Y","e.11300+","e.70+","1"
"100","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2016","2016","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"101","CMP","NAPERVILLE","CENTRAL","IL","APARTMENTS","2016","2017","MPAC","N","b.1","b.N","d.<11300","c.<40","1"
"102","CMP","NAPERVILLE","CENTRAL","TX","OFFICE","2016","2016","MPAC","N","b.1","b.N","b.<1800","b.<25","0"
"103","CMP","NAPERVILLE","CENTRAL","IL","GARAGE","2016","2016","MULTI","N","b.1","b.N","c.<4250","d.<70","1"
"104","CMP","NAPERVILLE","CENTRAL","OH","OFFICE","2016","2017","MPAC","N","d.3","b.N","b.<1800","b.<25","0"
"105","CMP","NAPERVILLE","CENTRAL","MI","BUSINESS","2017","2017","MULTI","N","d.3","b.N","b.<1800","b.<25","0"
"106","CMP","DENVER","WESTERN","NV","RESTAURANTS","2017","2017","MPAC","N","d.3","b.N","b.<1800","d.<70","0"
"107","CMP","DENVER","WESTERN","NV","OFFICE","2017","2017","MULTI","N","d.3","a.Y","b.<1800","b.<25","0"
"108","CMP","DIAMOND BAR","CALIFORNIA","CA","APARTMENTS","2017","2017","MPAC","N","a.0","b.N","e.11300+","c.<40","1"
"109","CMP","DENVER","WESTERN","AZ","RESTAURANTS","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","0"
"110","CMP","DIAMOND BAR","CALIFORNIA","CA","STORE","2017","2018","MULTI","N","f.others","b.N","b.<1800","d.<70","0"
"111","CMP","HUNT VALLEY","MID-ATLANTIC","MD","BUILDING","2016","2016","MPAC","N","d.3","b.N","e.11300+","c.<40","1"
"112","CMP","HUNT VALLEY","MID-ATLANTIC","PA","STORE","2017","2017","MPAC","N","d.3","a.Y","b.<1800","d.<70","0"
"113","CMP","METRO","MID-ATLANTIC","NJ","CONDOMINIUMS","2017","2017","MULTI","N","d.3","b.N","d.<11300","c.<40","1"
"114","CMP","BRAINTREE","NORTHEAST","MA","CONDOMINIUMS","2017","2017","MULTI","N","f.others","a.Y","e.11300+","b.<15","1"
"115","CMP","DENVER","WESTERN","UT","GARAGE","2016","2016","MULTI","N","f.others","b.N","d.<11300","b.<15","1"
"116","CMP","NAPERVILLE","CENTRAL","OH","APARTMENTS","2017","2017","MPAC","N","c.2","b.N","e.11300+","d.<70","1"
"117","CMP","NAPERVILLE","CENTRAL","KY","BUILDING","2017","2017","MPAC","N","d.3","b.N","b.<1800","c.<40","1"
"118","CMP","DENVER","WESTERN","AZ","APARTMENTS","2017","2017","MPAC","N","d.3","b.N","e.11300+","c.<40","1"
"119","CMP","KANSAS CITY","CENTRAL","UT","OFFICE","2017","2017","MPAC","N","d.3","b.N","b.<1800","b.<15","0"
"121","CMP","CHARLOTTE","SOUTHERN","AL","BUSINESS","2017","2017","MPAC","N","c.2","b.N","b.<1800","c.<40","0"
"122","CMP","HUNT VALLEY","MID-ATLANTIC","MD","RESTAURANTS","2017","2017","MULTI","N","f.others","b.N","b.<1800","b.<15","0"
"123","CMP","ATLANTA","SOUTHERN","GA","BUILDING","2017","2017","MPAC","N","d.3","b.N","d.<11300","b.<15","1"
"124","CMP","HARTFORD","NORTHEAST","CT","STORE","2017","2017","MULTI","N","e.4","b.N","c.<4250","c.<40","1"
"125","CMP","HUNT VALLEY","MID-ATLANTIC","PA","BUILDING","2017","2017","MPAC","N","e.4","b.N","d.<11300","d.<70","1"
"126","CMP","HUNT VALLEY","MID-ATLANTIC","MD","GARAGE","2017","2017","MPAC","N","d.3","b.N","b.<1800","b.<25","0"
"128","CMP","DENVER","WESTERN","WA","OFFICE","2017","2017","MPAC","N","d.3","b.N","b.<1800","d.<70","1"
"129","CMP","HUNT VALLEY","MID-ATLANTIC","CT","STORE","2017","2017","MPAC","N","f.others","b.N","c.<4250","e.70+","1"
"130","CMP","DIAMOND BAR","CALIFORNIA","CA","GARAGE","2017","2017","MPAC","N","c.2","b.N","b.<1800","c.<40","0"
"131","CMP","HUNT VALLEY","MID-ATLANTIC","MD","STORE","2016","2016","MULTI","N","e.4","b.N","b.<1800","c.<40","0"
"132","CMP","HUNT VALLEY","MID-ATLANTIC","MD","BUILDING","2016","2016","MPAC","N","e.4","b.N","c.<4250","c.<40","1"
"133","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","e.4","b.N","d.<11300","c.<40","1"
"135","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","e.4","b.N","d.<11300","c.<40","1"
"136","CMP","HARTFORD","NORTHEAST","NY","TECH OFFICE","2017","2017","MULTI","N","c.2","b.N","c.<4250","d.<70","1"
"137","CMP","KANSAS CITY","SOUTH CENTRAL","OK","BUSINESS","2017","2018","MULTI","N","f.others","b.N","b.<1800","d.<70","0"
"138","CMP","METRO","MID-ATLANTIC","NJ","BUSINESS","2017","2017","MPAC","Y","c.2","b.N","b.<1800","c.<40","0"
"139","CMP","CHARLOTTE","SOUTHERN","SC","GARAGE","2017","2017","MULTI","Y","d.3","b.N","b.<1800","b.<15","0"
"140","CMP","NAPERVILLE","CENTRAL","IL","CONDOMINIUMS","2016","2016","MULTI","N","c.2","b.N","d.<11300","e.70+","1"
"141","CMP","ATLANTA","SOUTHERN","AL","BUILDING","2017","2017","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
"142","CMP","ATLANTA","SOUTHERN","TX","OFFICE","2017","2018","MULTI","Y","f.others","b.N","b.<1800","b.<15","0"
"144","CMP","HUNT VALLEY","MID-ATLANTIC","VA","RESTAURANTS","2017","2017","MPAC","Y","b.1","b.N","b.<1800","c.<40","0"
"146","CMP","METRO","NORTHEAST","NY","BUSINESS","2017","2017","MPAC","Y","b.1","a.Y","d.<11300","c.<40","1"
"148","CMP","NAPERVILLE","CENTRAL","MI","RESTAURANTS","2017","2017","MULTI","N","d.3","b.N","b.<1800","b.<25","0"
"154","CMP","HARTFORD","NORTHEAST","CT","STORE","2017","2017","MPAC","Y","a.0","b.N","b.<1800","d.<70","0"
"156","CMP","KANSAS CITY","CENTRAL","IA","BUILDING","2017","2017","MPAC","N","a.0","b.N","e.11300+","b.<25","1"
"157","CMP","KANSAS CITY","CENTRAL","ME","OFFICE","2017","2017","MPAC","Y","b.1","b.N","b.<1800","b.<25","0"
"158","CMP","KANSAS CITY","CENTRAL","MI","OFFICE","2017","2017","MULTI","N","b.1","a.Y","b.<1800","b.<25","0"
"161","CMP","KANSAS CITY","CENTRAL","MN","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","e.70+","0"
"163","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUILDING","2017","2017","MPAC","N","b.1","b.N","c.<4250","c.<40","1"
"164","CMP","ATLANTA","SOUTHERN","AL","BUILDING","2017","2017","MPAC","N","d.3","b.N","d.<11300","d.<70","1"
"165","CMP","KANSAS CITY","SOUTH CENTRAL","IL","RESTAURANTS","2017","2017","MULTI","N","b.1","a.Y","b.<1800","b.<15","0"
"166","CMP","ATLANTA","SOUTHERN","GA","GARAGE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"167","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"170","CMP","HARTFORD","NORTHEAST","NY","BUILDING","2017","2017","MULTI","N","c.2","b.N","d.<11300","d.<70","1"
"171","CMP","ATLANTA","SOUTHERN","GA","BUILDING","2017","2017","MULTI","N","b.1","b.N","d.<11300","d.<70","1"
"173","CMP","DALLAS","SOUTH CENTRAL","CA","STORE","2017","2017","MULTI","N","b.1","a.Y","b.<1800","c.<40","0"
"174","CMP","ATLANTA","SOUTHERN","GA","RESTAURANTS","2017","2017","MPAC","N","a.0","b.N","c.<4250","c.<40","1"
"175","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","c.<40","1"
"177","CMP","BRAINTREE","NORTHEAST","MA","CONTRACTORS","2017","2017","MULTI","N","d.3","b.N","b.<1800","d.<70","0"
"180","CMP","HUNT VALLEY","MID-ATLANTIC","PA","BUILDING","2017","2017","MULTI","N","a.0","b.N","d.<11300","c.<40","1"
"181","CMP","ATLANTA","SOUTHERN","GA","RESTAURANTS","2016","2016","MULTI","N","a.0","b.N","c.<4250","c.<40","1"
"182","CMP","CHARLOTTE","SOUTHERN","NC","STORE","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"183","CMP","DENVER","WESTERN","CO","STORE","2017","2017","MULTI","N","d.3","b.N","b.<1800","e.70+","0"
"184","CMP","METRO","MID-ATLANTIC","NJ","BUSINESS","2017","2017","MPAC","N","c.2","b.N","b.<1800","b.<25","0"
"186","CMP","HARTFORD","NORTHEAST","CT","STORE","2017","2017","MULTI","Y","b.1","b.N","b.<1800","e.70+","0"
"187","CMP","ATLANTA","SOUTHERN","SC","APARTMENTS","2017","2017","MULTI","Y","b.1","b.N","e.11300+","d.<70","1"
"188","CMP","ATLANTA","SOUTHERN","GA","RESTAURANTS","2017","2017","MPAC","N","a.0","b.N","c.<4250","c.<40","1"
"189","CMP","ATLANTA","SOUTHERN","GA","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<15","0"
"190","CMP","HUNT VALLEY","MID-ATLANTIC","VA","CONTRACTORS","2017","2017","MULTI","N","b.1","b.N","b.<1800","c.<40","0"
"191","CMP","NAPERVILLE","CENTRAL","WI","CONDOMINIUMS","2017","2017","MULTI","N","d.3","b.N","d.<11300","b.<15","1"
"192","CMP","ATLANTA","SOUTHERN","GA","STORE","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<15","0"
"194","CMP","HUNT VALLEY","MID-ATLANTIC","MD","BUILDING","2017","2017","MPAC","N","c.2","b.N","d.<11300","d.<70","1"
"195","CMP","HUNT VALLEY","MID-ATLANTIC","PA","STORE","2017","2017","MULTI","N","b.1","b.N","b.<1800","d.<70","0"
"196","CMP","DENVER","WESTERN","MT","GARAGE","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<15","0"
"197","CMP","HUNT VALLEY","MID-ATLANTIC","CO","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"198","CMP","DENVER","WESTERN","OH","APARTMENTS","2017","2017","MPAC","N","b.1","b.N","d.<11300","d.<70","1"
"199","CMP","DENVER","WESTERN","UT","OFFICE","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","0"
"200","CMP","HUNT VALLEY","MID-ATLANTIC","VA","APARTMENTS","2017","2017","MPAC","N","b.1","b.N","d.<11300","d.<70","1"
"202","CMP","HARTFORD","NORTHEAST","NY","STORE","2017","2017","MPAC","N","b.1","b.N","b.<1800","e.70+","0"
"203","CMP","DENVER","WESTERN","IL","BUILDING","2017","2017","MPAC","N","c.2","b.N","b.<1800","d.<70","1"
"204","CMP","DENVER","WESTERN","AZ","BUILDING","2017","2017","MPAC","N","b.1","b.N","e.11300+","c.<40","1"
"206","CMP","CHARLOTTE","SOUTHERN","SC","RESTAURANTS","2016","2016","MPAC","N","b.1","b.N","b.<1800","d.<70","1"
"207","CMP","DENVER","WESTERN","MT","RESTAURANTS","2017","2017","MULTI","N","c.2","b.N","c.<4250","d.<70","1"
"208","CMP","DENVER","WESTERN","MT","RESTAURANTS","2017","2017","MULTI","N","c.2","b.N","c.<4250","d.<70","1"
"209","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","d.<70","1"
"210","CMP","CHARLOTTE","SOUTHERN","SC","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","b.<25","1"
"211","CMP","DALLAS","SOUTH CENTRAL","TX","BUSINESS","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","0"
"212","CMP","DENVER","WESTERN","TX","BUILDING","2016","2016","MPAC","N","b.1","b.N","e.11300+","c.<40","1"
"213","CMP","DENVER","WESTERN","OR","OFFICE","2017","2017","MPAC","N","b.1","b.N","c.<4250","c.<40","1"
"214","CMP","ATLANTA","SOUTHERN","GA","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"215","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2017","2017","MPAC","N","b.1","b.N","b.<1800","d.<70","0"
"216","CMP","KANSAS CITY","CENTRAL","IA","APARTMENTS","2017","2017","MPAC","N","b.1","b.N","c.<4250","e.70+","1"
"217","CMP","DENVER","WESTERN","WA","GARAGE","2017","2018","MPAC","N","e.4","b.N","b.<1800","d.<70","0"
"218","CMP","METRO","MID-ATLANTIC","NJ","BUSINESS","2017","2017","MULTI","N","a.0","b.N","b.<1800","d.<70","0"
"219","CMP","DENVER","WESTERN","WA","STORE","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"220","CMP","DENVER","WESTERN","CA","BUSINESS","2016","2016","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"221","CMP","KANSAS CITY","CENTRAL","MN","OFFICE","2017","2017","MULTI","N","b.1","a.Y","b.<1800","b.<15","0"
"223","CMP","CHARLOTTE","SOUTHERN","SC","OFFICE","2017","2017","MULTI","N","b.1","b.N","d.<11300","d.<70","1"
"224","CMP","KANSAS CITY","SOUTH CENTRAL","KS","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","1"
"225","CMP","DALLAS","SOUTH CENTRAL","TX","OFFICE","2017","2017","MPAC","N","b.1","b.N","c.<4250","e.70+","1"
"228","CMP","BRAINTREE","NORTHEAST","MA","STORE","2017","2017","MPAC","Y","d.3","b.N","d.<11300","e.70+","1"
"229","CMP","CHARLOTTE","SOUTHERN","NC","BUILDING","2017","2017","MPAC","Y","a.0","b.N","e.11300+","b.<25","1"
"231","CMP","NAPERVILLE","CENTRAL","MI","RESTAURANTS","2017","2017","MULTI","N","c.2","b.N","c.<4250","d.<70","1"
"232","CMP","METRO","NORTHEAST","NY","STORE","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","0"
"236","CMP","DALLAS","SOUTH CENTRAL","TX","OFFICE","2017","2017","MPAC","Y","a.0","b.N","b.<1800","c.<40","0"
"237","CMP","HUNT VALLEY","MID-ATLANTIC","MD","APARTMENTS","2017","2017","MPAC","N","c.2","b.N","e.11300+","b.<15","1"
"239","CMP","NAPERVILLE","CENTRAL","MI","CONDOMINIUMS","2017","2017","MPAC","N","d.3","b.N","e.11300+","b.<25","1"
"240","CMP","NAPERVILLE","CENTRAL","IL","CONTRACTORS","2017","2017","MULTI","N","b.1","b.N","b.<1800","d.<70","0"
"242","CMP","KANSAS CITY","CENTRAL","CA","OFFICE","2016","2016","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"243","CMP","NAPERVILLE","CENTRAL","MI","BUILDING","2017","2017","MPAC","N","b.1","b.N","c.<4250","e.70+","1"
"244","CMP","HUNT VALLEY","MID-ATLANTIC","WV","CONTRACTORS","2017","2017","MULTI","N","a.0","b.N","b.<1800","d.<70","0"
"245","CMP","HUNT VALLEY","MID-ATLANTIC","WV","BUILDING","2017","2017","MULTI","N","a.0","b.N","b.<1800","e.70+","1"
"246","CMP","DENVER","WESTERN","CO","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"247","CMP","ATLANTA","SOUTHERN","GA","OFFICE","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","0"
"249","CMP","DENVER","WESTERN","UT","BUSINESS","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<15","0"
"250","CMP","HUNT VALLEY","MID-ATLANTIC","PA","APARTMENTS","2017","2017","MPAC","N","d.3","b.N","e.11300+","d.<70","1"
"251","CMP","ATLANTA","SOUTHERN","GA","STORE","2017","2017","MPAC","N","a.0","a.Y","b.<1800","b.<25","0"
"253","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2017","2017","MULTI","N","d.3","b.N","d.<11300","d.<70","1"
"254","CMP","WALNUT CREEK","CALIFORNIA","CA","RESTAURANTS","2017","2017","MPAC","N","c.2","b.N","c.<4250","d.<70","1"
"255","CMP","CHARLOTTE","SOUTHERN","NC","CONTRACTORS","2017","2017","MULTI","N","b.1","b.N","b.<1800","b.<15","0"
"256","CMP","HARTFORD","NORTHEAST","NY","GARAGE","2017","2017","MPAC","N","a.0","b.N","c.<4250","b.<15","1"
"258","CMP","KANSAS CITY","CENTRAL","IA","APARTMENTS","2017","2017","MPAC","N","b.1","b.N","c.<4250","e.70+","1"
"259","CMP","CHARLOTTE","SOUTHERN","TN","BUILDING","2016","2016","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"260","CMP","METRO","NORTHEAST","NY","CONTRACTORS","2017","2017","MULTI","N","c.2","b.N","b.<1800","d.<70","0"
"262","CMP","HUNT VALLEY","MID-ATLANTIC","VA","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"264","CMP","HARTFORD","NORTHEAST","NY","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","1"
"266","CMP","NAPERVILLE","CENTRAL","KY","STORE","2017","2017","MPAC","N","b.1","b.N","b.<1800","d.<70","0"
"269","CMP","DENVER","WESTERN","WA","RESTAURANTS","2017","2017","MPAC","N","c.2","b.N","b.<1800","c.<40","0"
"270","CMP","HUNT VALLEY","MID-ATLANTIC","MD","APARTMENTS","2017","2017","MULTI","N","b.1","b.N","c.<4250","e.70+","1"
"271","CMP","DENVER","WESTERN","UT","CONDOMINIUMS","2016","2016","MPAC","N","b.1","b.N","e.11300+","c.<40","1"
"272","CMP","DALLAS","SOUTH CENTRAL","TX","GARAGE","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","0"
"273","CMP","DENVER","WESTERN","ID","BUILDING","2017","2017","MPAC","N","b.1","b.N","e.11300+","b.<15","1"
"274","CMP","HUNT VALLEY","MID-ATLANTIC","WV","GARAGE","2017","2017","MULTI","N","b.1","b.N","c.<4250","c.<40","1"
"275","CMP","DENVER","WESTERN","AZ","APARTMENTS","2017","2017","MPAC","N","b.1","a.Y","c.<4250","b.<15","1"
