"","Line","UWC","Region","State","Segment","FirstQuoteYear","FirstEffYear","mnln_cd","coast_ind","earlyshop_mth_bkt","SPRNKL_IND_bkt","SUM_BLD_SQFTAGE_bkt","LOC_BLD_AGE_bkt","bld_ind"
"24401","CMP","DENVER","WESTERN","AZ","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","b.<15","1"
"24402","CMP","HUNT VALLEY","MID-ATLANTIC","PA","CONDOMINIUMS","2016","2016","MPAC","N","c.2","b.N","e.11300+","c.<40","1"
"24403","CMP","KANSAS CITY","SOUTH CENTRAL","MO","BUSINESS","2017","2017","MULTI","N","b.1","b.N","b.<1800","c.<40","0"
"24404","CMP","HUNT VALLEY","MID-ATLANTIC","MD","BUILDING","2017","2017","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
"24405","CMP","CHARLOTTE","SOUTHERN","TN","OFFICE","2017","2017","MPAC","N","b.1","b.N","b.<1800","d.<70","1"
"24406","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"24409","CMP","HUNT VALLEY","MID-ATLANTIC","VA","OFFICE","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","0"
"24410","CMP","ATLANTA","SOUTHERN","GA","BUILDING","2016","2016","MPAC","N","a.0","a.Y","e.11300+","b.<25","1"
"24411","CMP","KANSAS CITY","CENTRAL","ND","OFFICE","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<15","0"
"24412","CMP","DALLAS","SOUTH CENTRAL","TX","TECH OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"24413","CMP","ATLANTA","SOUTHERN","GA","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"24414","CMP","METRO","MID-ATLANTIC","NJ","BUILDING","2017","2017","MPAC","N","a.0","b.N","c.<4250","e.70+","1"
"24415","CMP","DENVER","WESTERN","CO","OFFICE","2017","2017","MPAC","N","a.0","a.Y","b.<1800","c.<40","0"
"24416","CMP","HUNT VALLEY","MID-ATLANTIC","DC","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","b.<1800","d.<70","0"
"24417","CMP","ATLANTA","SOUTHERN","AL","BUILDING","2017","2017","MULTI","N","c.2","b.N","c.<4250","c.<40","1"
"24418","CMP","KANSAS CITY","SOUTH CENTRAL","OK","OFFICE","2017","2017","MPAC","N","c.2","b.N","b.<1800","d.<70","0"
"24419","CMP","DENVER","WESTERN","CO","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"24420","CMP","ATLANTA","SOUTHERN","GA","STORE","2017","2017","MPAC","N","b.1","b.N","c.<4250","c.<40","1"
"24421","CMP","CHARLOTTE","SOUTHERN","NC","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","b.<25","1"
"24422","CMP","DENVER","WESTERN","MT","CONTRACTORS","2017","2017","MPAC","N","b.1","b.N","b.<1800","d.<70","0"
"24424","CMP","HUNT VALLEY","MID-ATLANTIC","PA","STORE","2017","2017","MULTI","N","b.1","b.N","b.<1800","d.<70","0"
"24425","CMP","METRO","MID-ATLANTIC","NJ","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","c.<40","1"
"24426","CMP","KANSAS CITY","CENTRAL","IA","OFFICE","2017","2017","MULTI","N","b.1","b.N","b.<1800","b.<25","0"
