"","X","TRV.Price","nbr_comp","count","rrv_rt_fct","tot_bld_annl_rev_amt","fnl_prc_pt_fct","tot_ref_rule_cnt","agt_subm_pol_cnt","terr_pctl_bldgcrime","terr_pctl_bldgfire","terr_pctl_weather","terr_pctl_water","terr_pctl_cntscrime","terr_pctl_cntsfire","terr_pctl_liab","afi_pol_cnt","pri_clm_cnt","prcnt_blg_tiv","prcnt_pol_cmp"
"10610",10610,3174,1,1,1,1e+06,0.6761,0,1,48,84,3,96,61,33,55,1,0,0,1
"10611",10611,11097,1,1,1.06,1,1,1,1,61,97,9,45,54,95,91,0,0,1,1
"10612",10612,1806,1,1,0.81,320000,1,0,1,93,99,8,94,85,93,100,1,0,0,1
"10613",10613,1437,2,1,1,1e+05,1.1586,0,1,86,89,81,20,74,36,92,1,0,0,1
"10615",10615,5677,1,1,1,3e+05,0.9165,0,1,1,39,67,43,1,57,63,1,0,0,1
"10616",10616,7637,1,1,0.83,3e+05,1,0,1,63,8,12,64,73,2,49,1,0,0,1
"10617",10617,450,1,1,1,66000,0.797,1,1,31,48,20,100,15,77,61,0,0,0,1
"10618",10618,500,1,1,1,25000,1.0126,0,1,45,75,60,74,42,33,86,1,0,0,1
"10619",10619,5270,1,1,1,8e+05,0.5621,0,1,70,92,52,80,75,73,51,1,0,1,1
"10620",10620,4590,1,1,1,132000,0.809,0,1,74,23,93,17,54,20,2,1,0,1,1
"10621",10621,5516,1,1,1,60000,1.4867,0,1,62,29,82,7,55,33,2,1,0,1,1
"10623",10623,1100,1,1,1,6e+05,0.9877,1,1,72,7,98,2,74,68,4,0,0,0,1
"10624",10624,1110,1,1,1,70000,1.2674,0,1,79,52,35,32,92,69,28,1,0,0,1
"10625",10625,650,1,1,1,45000,0.747,0,1,1,12,80,19,1,75,74,1,0,0,1
"10626",10626,19837,1,2,1,330000,1.0382,0,1,61,9,100,67,46,12,2,1,1,1,1
"10627",10627,1553,1,1,1,30000,1.0126,0,1,2,77,78,13,4,90,52,1,0,1,1
"10628",10628,7152,1,2,1,446000,0.4962,1,1,85,40,53,95,58,3,55,0,1,0.660184497163673,1
"10629",10629,9501,1,2,1,54000,0.6529,1,1,14,54,72,55,2,67,57,0,0,1,1
"10630",10630,7640,1,1,1,48000,0.973,0,1,64,89,2,76,87,34,37,1,0,1,1
"10631",10631,4436,1,1,1,327068,0.6529,1,1,78,38,3,80,92,36,75,0,2,0.5,1
"10634",10634,1447,2,1,1,10000,0.6694,0,1,88,33,3,43,93,40,58,1,0,0.824582571489563,1
"10635",10635,1495,1,1,0.88,250000,1,0,1,77,91,73,31,100,87,88,1,0,0,1
"10636",10636,8475,1,1,1.03,246000,1,2,1,31,49,87,35,5,26,51,0,0,1,2
"10637",10637,725,1,1,1,50000,1.1022,0,1,7,93,84,21,4,92,65,1,0,0,1
"10638",10638,2735,1,1,1,250000,1.0228,1,1,57,68,62,35,76,56,83,0,0,0.863035771833709,1
"10639",10639,1479,1,1,1,7e+05,1.1022,0,1,3,59,76,27,1,70,68,1,0,0,1
"10640",10640,6494,1,1,0.76,1e+05,1,1,1,51,91,65,100,48,95,52,0,1,0,1
"10641",10641,6856,1,1,1,60000,0.9349,0,1,74,94,39,100,63,95,21,1,0,1,1
"10643",10643,7982,2,1,1.62,85000,1,0,1,19,18,87,5,27,2,18,1,0,1,1
"10644",10644,35174,1,1,1,460800,0.7774,0,1,24,85,24,98,35,63,62,1,0,1,1
"10645",10645,7189,1,1,1,1032000,0.8212,1,1,38,49,39,84,65,49,75,0,0,0,1
"10646",10646,1086,1,1,1,150000,0.842,1,1,69,38,29,75,62,35,57,0,1,0,1
"10647",10647,1028,1,1,1.03,1100000,1,1,1,94,22,39,21,64,19,86,0,0,0,1
"10648",10648,18355,1,1,1,560000,0.8131,0,1,99,21,46,35,80,49,8,1,0,1,1
"10649",10649,5373,1,1,1,48000,1.1244,0,1,59,43,88,30,6,74,20,1,0,0,1
"10650",10650,6972,1,1,1,1338137,0.5164,2,1,42,54,9,91,97,82,57,0,0,0.824587781286022,1
"10651",10651,3462,1,1,1,250000,0.762,1,1,60,100,53,61,54,100,98,0,1,1,1
"10652",10652,4728,1,1,1.16,3e+05,1,0,1,92,79,69,97,58,89,85,1,0,1,1
"10653",10653,793,1,1,1,75000,1.23,0,1,87,52,6,82,67,33,76,1,0,0,1
"10654",10654,14721,1,1,1,45001,1.0279,7,1,98,31,70,32,94,93,49,0,0,1,1
"10656",10656,1455,1,1,1,5e+05,0.7286,0,1,43,38,17,60,44,38,40,1,0,0,1
"10657",10657,6065,2,1,1,810000,0.5348,0,1,74,26,10,31,81,19,81,1,0,0.871826704335747,1
"10659",10659,5992,1,1,1,5e+05,0.7214,0,1,90,95,90,13,29,15,21,1,0,0,1
"10660",10660,760,1,1,1.33,40000,1,0,1,94,84,15,38,70,44,82,1,0,0,1
"10661",10661,2010,1,3,1,80000,0.9827,0,1,70,76,32,91,66,74,90,1,0,1,1
"10662",10662,27618,1,1,1,450000,0.8253,0,1,63,56,95,18,72,30,9,1,0,0,1
"10663",10663,22691,1,2,1,120000,0.5113,0,1,39,13,18,98,21,41,64,1,0,1,1
"10664",10664,6875,1,1,1,6e+05,1.0538,0,1,3,3,71,44,13,9,63,1,0,0,2
"10665",10665,2988,1,1,1,3e+05,0.7658,0,1,19,54,37,57,64,63,32,1,0,0.898585470137478,1
"10666",10666,6256,1,1,1,1300000,0.5139,1,1,98,86,59,38,14,82,49,0,2,0.795601552393273,1
"10667",10667,750,1,1,1.06,94459,1,0,0,86,83,21,72,13,90,99,1,0,0,1
"10668",10668,8543,1,1,1,89520,0.8171,9,0,30,95,46,97,21,98,95,0,1,1,1
"10669",10669,1732,1,2,1,36000,0.7359,1,1,53,45,69,70,87,60,14,0,0,1,2
"10670",10670,500,1,1,1,1e+05,0.9827,0,1,75,19,30,37,40,11,61,1,0,0,1
"10671",10671,1269,1,1,1,560000,0.6694,0,1,70,56,78,34,87,69,34,1,0,0,1
"10673",10673,1504,2,1,1,620136,0.7507,0,1,37,56,55,23,70,5,10,1,0,0.704484739591953,1
"10674",10674,500,1,1,0.9,64000,1,0,1,12,2,61,73,58,8,65,1,0,0,1
"10675",10675,1379,1,1,1,1e+05,0.6966,0,1,90,72,65,83,68,45,59,1,0,1,1
"10676",10676,46291,1,1,1,2e+05,0.805,1,1,86,64,95,15,39,77,14,0,1,1,1
"10678",10678,500,1,1,1,50000,0.8589,0,1,60,17,7,100,18,99,29,1,0,0,1
"10679",10679,3044,1,1,1,12000,0.7001,0,1,34,29,79,23,93,15,37,1,0,1,2
"10681",10681,8027,2,1,0.88,450000,1,0,1,6,71,7,29,56,58,78,1,0,0.831065671530849,1
"10682",10682,17198,1,1,1,2500000,0.5706,0,1,24,17,54,61,24,20,44,1,0,0,1
"10683",10683,1185,1,1,1.62,12000,1,2,1,99,96,42,77,98,54,88,0,0,0.92,1
"10684",10684,2786,1,1,1,4e+05,0.8378,0,1,34,47,1,97,93,30,46,1,0,0,1
"10686",10686,2097,2,1,1,1e+05,0.973,0,1,81,36,44,92,43,15,27,1,0,0,1
"10687",10687,9689,1,1,1,1e+06,1.0026,0,1,40,61,47,45,64,82,40,1,0,0,1
"10688",10688,5345,1,1,1,2e+05,0.9443,0,1,88,47,40,72,69,25,40,1,0,1,1
"10689",10689,688,1,1,1,3e+05,0.5909,0,1,81,54,18,43,45,26,67,1,0,0,1
"10691",10691,1081,2,1,1,42120,1.4867,0,1,92,8,54,32,91,43,12,1,0,1,1
"10692",10692,383,1,1,1,1e+06,1.3795,0,1,20,78,30,97,12,92,45,1,0,0,2
"10693",10693,4928,3,1,1,360000,0.9443,0,1,83,80,30,97,74,94,43,1,0,0,1
"10696",10696,500,2,1,1,30000,1.0279,0,1,24,89,42,99,15,78,83,1,0,0,1
"10697",10697,500,2,1,1,30000,1.0279,0,1,24,89,42,99,15,78,83,1,0,0,1
"10698",10698,2854,1,1,1,50000,1.1528,0,0,-1,-1,-1,-1,-1,-1,-1,1,0,1,1
"10699",10699,5074,1,1,1,260000,0.8253,0,1,76,74,70,67,81,65,35,1,0,1,1
"10700",10700,4276,1,1,0.88,3e+05,1,1,1,64,11,70,93,45,25,41,0,0,0.672770407537188,1
"10701",10701,2680,1,1,1,1e+05,1.1938,3,1,90,9,24,78,77,69,40,0,0,0,2
"10702",10702,3859,1,1,1,46800,1.1528,1,1,38,20,6,71,65,60,52,0,0,1,1
"10703",10703,2004,1,1,1.33,150000,1,0,1,88,96,77,49,100,46,93,1,0,1,1
"10704",10704,4012,1,2,1,5e+05,0.6149,0,1,49,96,15,46,82,10,16,1,0,1,1
"10705",10705,4248,1,1,1,90000,0.5402,0,1,87,78,56,18,92,14,68,1,0,0.865863936848742,1
"10707",10707,10574,2,1,1,1347296,0.7178,1,1,97,21,44,21,93,56,47,0,0,0.586433406134745,1
"10708",10708,1265,1,1,1,2e+05,1.1022,0,1,46,57,26,91,28,87,39,1,0,0,1
"10709",10709,3361,1,1,1,1e+06,0.5763,0,1,34,27,12,59,16,28,51,1,0,0,1
"10710",10710,1536,1,1,1.06,45000,1,0,1,75,20,30,58,43,9,89,1,0,0,1
"10711",10711,7919,1,1,1,75000,0.8131,0,1,44,68,28,98,24,72,84,1,0,1,1
"10712",10712,500,1,1,1,8e+05,0.9074,0,1,31,66,42,83,29,86,88,1,0,0,1
"10713",10713,9196,1,2,1.16,120000,1,0,1,6,80,95,33,7,14,29,1,0,0.91304347826087,1
"10714",10714,1501,1,1,1.33,4e+05,1,2,1,72,28,96,1,9,36,32,0,0,0,1
"10715",10715,7083,1,1,0.72,650000,1,0,1,86,83,21,72,13,90,99,1,0,0,1
"10716",10716,3358,1,1,1,150000,1.1077,0,1,4,1,90,13,45,2,18,1,0,0,1
"10717",10717,9400,1,1,0.94,80000,1,0,1,25,43,96,93,76,50,91,1,0,0,1
"10718",10718,6559,1,1,0.83,1200000,1,1,1,91,78,100,67,67,77,86,0,0,1,1
"10719",10719,2662,1,1,1,65000,1.3934,0,1,28,43,87,20,22,21,1,1,0,0,1
"10720",10720,1854,1,1,1,22000,0.6305,1,1,86,70,65,17,84,84,7,0,0,1,1
"10721",10721,1185,1,1,1.06,18000,1,0,1,13,73,72,72,10,99,76,1,0,1,1
"10722",10722,5801,1,1,1,2e+05,1.3059,1,1,10,96,64,97,3,89,85,0,1,1,1
"10723",10723,4138,1,1,0.88,1e+05,1,0,1,32,57,95,31,10,68,31,1,0,0,1
"10724",10724,9014,1,2,1,206550,0.8675,0,1,68,41,98,60,60,20,15,1,0,1,1
"10725",10725,4062,1,1,1,1e+06,0.6529,0,1,6,77,54,47,2,51,73,1,0,0,1
