"","X","TRV.Price","nbr_comp","count","rrv_rt_fct","tot_bld_annl_rev_amt","fnl_prc_pt_fct","tot_ref_rule_cnt","agt_subm_pol_cnt","terr_pctl_bldgcrime","terr_pctl_bldgfire","terr_pctl_weather","terr_pctl_water","terr_pctl_cntscrime","terr_pctl_cntsfire","terr_pctl_liab","afi_pol_cnt","pri_clm_cnt","prcnt_blg_tiv","prcnt_pol_cmp"
"1",0,3985,1,1,0.72,450000,1,0,1,77,16,98,48,30,46,96,1,0,0,1
"2",1,6813,4,1,1,1e+05,0.7286,1,1,94,96,2,88,91,73,78,0,0,1,1
"6",5,2034,1,1,1,1e+05,0.6727,0,1,3,3,2,87,2,46,19,1,0,0.534257120862202,1
"7",6,650,1,1,1,50000,0.949,0,1,64,52,16,100,80,72,56,1,0,0,1
"8",7,6918,1,1,1,128000,0.809,2,1,90,92,23,86,82,51,70,0,0,1,1
"9",8,2549,1,2,1,150000,0.7735,0,1,89,43,53,35,97,22,16,1,0,0.911698592744312,1
"10",9,1181,1,2,1.11,25000,1,0,1,46,3,81,4,45,1,16,1,0,0,1
"11",10,3197,1,1,0.85,25000,1,1,1,34,79,10,15,67,26,52,0,1,0.994006674385344,1
"13",12,3682,1,1,1,3e+05,0.8253,1,1,97,14,45,42,70,11,14,0,1,0,1
"14",13,3906,1,2,1,2e+05,0.762,0,1,95,20,54,17,86,9,7,1,0,0.382385378919174,1
"15",14,4198,1,1,1,6e+05,0.6727,0,1,71,96,10,98,64,83,92,1,0,0.694128199820603,1
"17",16,2484,2,1,0.94,5e+05,1,1,1,97,27,85,21,90,51,34,0,0,0,1
"18",17,27703,1,1,1,20000,0.7545,0,1,100,6,47,1,98,39,24,1,0,1,1
"19",18,2369,1,2,1,15001,1.0858,0,1,100,77,72,14,90,76,39,1,0,1,1
"20",19,4119,1,1,1,125000,0.7036,0,1,25,65,54,42,51,91,31,1,0,0.968351075193098,1
"21",20,500,1,1,1,120000,1.3256,0,1,56,25,36,55,61,67,52,1,0,0,1
"22",21,500,1,1,1,160000,0.9396,0,1,84,50,25,57,84,54,60,1,0,0,1
"24",23,650,3,2,1.33,50000,1,1,1,83,14,84,2,36,32,10,0,0,0,1
"26",25,877,1,2,1.16,150000,1,0,1,25,43,96,93,76,50,91,1,0,0,1
"27",26,650,3,2,1.11,1e+05,1,0,1,83,14,84,2,36,32,10,1,0,0,1
"30",29,8845,1,1,1,208001,0.5375,1,1,58,95,9,99,83,93,92,0,0,0.790369578433222,1
"31",30,750,1,1,1,45000,0.5483,0,1,51,1,30,59,46,79,72,1,0,0,1
"32",31,3103,1,1,1,30001,1.0538,0,1,11,95,72,37,1,81,85,1,0,1,1
"33",32,941,1,1,1,1e+06,0.5763,0,1,88,49,13,52,94,64,64,1,1,0.931034482758621,1
"34",33,850,1,2,1,125000,0.6305,0,1,99,86,71,3,96,75,65,1,0,0,1
"35",34,2883,1,2,1.62,36000,1,1,1,69,39,79,19,52,18,40,0,0,1,1.5
"36",35,500,1,1,1.06,85000,1,0,1,92,33,62,13,52,25,28,1,0,0,1
"37",36,6367,1,2,1,30000,0.973,3,1,81,81,69,14,96,50,36,0,0,1,1
"38",37,7150,3,1,1,8e+05,1,1,1,98,82,85,22,87,76,36,0,0,0.696969696969697,1
"41",40,4176,3,1,1,85000,0.797,0,1,13,4,9,71,95,3,90,1,0,0.744525547445255,1
"44",43,750,1,1,1,60000,0.6966,0,1,57,77,2,99,98,84,27,1,0,0,1
"45",44,5353,1,3,0.88,175000,1,1,1,86,32,51,35,33,27,15,0,0,0.560663515025976,1
"46",45,2127,1,2,1,322000,0.5037,0,1,31,28,17,84,87,22,81,1,0,0.721991927837048,1
"48",47,9732,1,2,1,350000,0.8253,1,1,100,74,41,18,100,14,10,0,0,0.864720585572554,1
"49",48,11995,1,2,1,250000,0.7582,0,1,4,1,97,67,28,30,62,1,0,1,1
"50",49,518,2,1,1.33,10000,1,0,1,99,23,74,19,83,8,39,1,0,0,1
"51",50,518,2,1,1.33,10000,1,0,1,99,23,74,19,83,8,39,1,0,0,1
"52",51,2195,1,1,1.23,1e+05,1,0,1,81,37,5,37,86,34,57,1,1,0,1
"53",52,1757,1,2,1,650000,0.9877,0,1,46,73,3,98,92,59,34,1,0,0,1
"54",53,2424,1,2,1,5e+05,0.8806,0,1,21,86,68,44,25,81,64,1,0,0,1
"55",54,2458,2,2,1,5e+05,0.6305,0,1,84,95,3,83,67,82,77,1,0,0,1
"57",56,2730,1,2,1,50000,0.4425,0,1,97,16,84,31,84,16,20,1,0,0,1
"58",57,5657,1,2,0.83,5e+05,1,0,1,32,27,81,9,45,40,9,1,1,0.9555461997573,1
"59",58,2826,1,2,1,275000,1,1,1,91,93,64,38,76,73,72,0,0,0,1
"60",59,3596,1,1,1,2e+05,0.5968,0,1,37,35,43,29,46,13,6,1,0,0.837943656250405,1
"61",60,18651,1,1,1,1263816,0.4721,2,1,35,93,48,41,81,70,26,0,2,0.998863578767742,1
"64",63,16326,1,2,0.76,1183019,1,1,1,68,17,86,4,33,25,31,0,0,0,1
"65",64,952,1,2,1,8e+05,0.9396,0,1,3,32,81,20,16,51,63,1,0,0,1
"66",65,2214,5,1,1,750000,0.5216,0,1,36,26,23,87,29,78,59,1,0,0.531293079680176,1
"71",70,5900,1,2,0.72,1e+05,1,0,1,72,90,70,58,40,76,73,1,0,0,1
"72",71,27204,1,1,1.23,250000,1,3,1,70,34,91,2,66,92,5,0,0,1,1
"74",73,844,2,2,1,20000,0.7697,0,1,1,1,72,37,1,3,65,1,0,0,1
"75",74,5122,1,2,1,2e+05,1.0751,0,1,71,18,88,20,65,23,5,1,0,0,1.5
"76",75,1024,1,1,1.33,20000,1,1,1,34,80,57,15,87,45,8,0,0,1,1
"77",76,8179,1,2,1,7e+05,0.5139,2,1,63,83,28,73,68,78,3,0,1,0.503746611804673,2
"78",77,2055,1,2,1.11,80000,1,0,1,27,24,20,82,13,11,81,1,0,0,1
"79",78,13195,3,1,1,53000,0.9396,2,1,34,94,39,16,59,45,79,0,1,1,2
"82",81,5175,1,2,1,2e+05,1.5706,0,1,4,85,78,13,13,90,43,1,0,0,1
"83",82,3683,1,1,1,25000,0.885,0,1,59,42,7,67,60,95,84,1,0,0.879082426127527,1
"85",84,28124,3,1,1.23,2e+05,1,0,1,31,54,59,15,35,56,27,1,0,1,1
"87",86,93298,1,1,1,1431000,0.9029,0,1,70,34,91,2,66,92,5,1,0,1,1
"88",87,500,1,2,1,275000,1.4144,0,1,12,21,19,46,20,7,43,1,0,0,1
"90",89,500,2,2,1,25000,0.9303,0,1,86,61,26,73,51,14,60,1,0,0,1
"91",90,4807,1,3,1,5e+05,0.5593,0,1,92,76,38,36,100,84,17,1,0,0.575909961685824,1
"92",91,250,1,2,1,25000,0.7545,0,1,45,72,26,77,36,48,93,1,0,0,1
"93",92,5450,2,1,1.06,350000,1,0,1,7,53,76,66,4,49,20,1,0,0,1
"95",94,7382,1,1,0.83,4e+05,1,1,1,61,98,11,97,44,93,100,0,1,0.990990990990991,1
"97",96,19879,2,1,1,108000,0.6863,0,1,55,40,45,95,62,14,25,1,0,1,1
"98",97,18686,1,1,1,20000,0.6863,0,1,15,16,17,45,50,17,88,1,0,1,1
"99",98,12974,1,2,1,150000,1.0126,1,1,65,91,46,33,89,71,48,0,2,1,1
"100",99,1936,1,2,1,250000,0.8462,0,1,34,21,58,86,30,20,20,1,0,0.834656692178527,1
"101",100,7086,1,2,1,96000,0.7286,0,1,79,67,17,98,30,48,62,1,0,1,1
"102",101,500,1,2,1,680000,0.8131,0,1,82,52,18,66,45,46,82,1,0,0,1
"103",102,2730,1,2,1,7e+05,0.747,0,1,67,85,43,94,57,86,31,1,1,0.826546003016591,1
"104",103,500,1,2,1,5e+05,0.8806,0,1,78,97,20,93,71,98,88,1,0,0,1
"105",104,1820,1,2,1,2e+05,0.4674,0,1,63,78,16,85,61,45,78,1,0,0,1
"106",105,4142,1,2,1,130000,0.7286,0,1,4,16,83,48,3,32,10,1,0,0,1
"107",106,885,1,2,1,6e+05,0.8547,0,1,7,70,86,58,2,58,23,1,0,0,1
"108",107,21276,1,1,1.06,39400,1,2,1,34,59,79,8,16,51,65,0,1,0.980601357904947,1
"109",108,5513,1,1,1,5e+05,0.484,0,1,6,61,71,29,3,8,74,1,0,0,1
"110",109,4363,1,1,1.23,275000,1,0,1,27,82,87,52,12,35,40,1,0,0,1
"111",110,8888,1,4,1.11,70000,1,3,1,53,63,29,48,36,62,70,0,1,0.984785575325527,1.25
"112",111,24281,1,3,1,1e+06,1.1702,0,1,13,29,83,65,59,9,12,1,0,0,1
"113",112,4084,1,1,1,15000,0.7735,1,1,59,78,60,60,64,37,5,0,0,1,2
"114",113,16993,1,1,0.83,1e+05,1,3,1,97,75,76,17,83,90,60,0,1,1,1
"115",114,2445,1,2,1,6e+05,0.4359,0,1,68,83,77,39,100,55,52,1,0,0.742686838303123,1
"116",115,11856,1,2,1,188000,0.7735,0,1,33,70,39,31,89,72,98,1,0,1,1
"117",116,3840,1,2,1,20000,1.23,0,1,26,16,12,53,18,21,22,1,0,1,1
"118",117,76032,1,1,1,1497600,0.7142,0,1,2,29,76,32,1,40,77,1,0,0.996383739784676,1
"119",118,1030,2,2,1,298000,0.9074,0,1,50,61,68,61,55,21,72,1,0,0,1
"121",120,544,1,2,1,32000,1.176,0,1,20,41,24,90,83,44,59,1,0,0,1
"122",121,5705,1,1,0.88,7e+05,1,0,1,91,37,51,74,90,70,46,1,0,0,1
"123",122,4065,1,2,1,141000,0.6794,0,1,73,74,36,99,50,54,92,1,0,1,1
"124",123,3491,1,1,1,350000,0.4651,0,1,75,88,66,6,89,74,17,1,0,0.916494353427708,1
"125",124,4891,1,1,1,48000,0.7931,0,1,23,95,56,48,72,85,17,1,0,1,1
"126",125,1107,1,1,0.68,80000,1,0,1,7,2,26,77,8,20,85,1,0,0,1
"128",127,1481,2,2,0.81,1500000,1,0,1,45,45,44,60,28,3,83,1,0,0.412371134020619,1
"129",128,2554,1,1,1,601000,0.3985,0,1,96,35,57,16,87,33,29,1,0,0.847851125155663,1
"130",129,1873,1,2,0.88,120000,1,0,1,33,68,93,65,7,88,66,1,0,0,1
"131",130,4630,1,2,1.03,4e+05,1,0,1,88,78,20,96,55,78,98,1,0,0,1.5
"132",131,3599,1,3,1.62,3e+05,1,0,1,88,78,20,96,55,78,98,1,0,1,1
"133",132,26623,3,1,1,125000,1.0434,0,1,80,76,10,91,35,61,85,1,0,1,1
"135",134,26623,3,1,1,125000,1.0434,0,1,80,76,10,91,35,61,85,1,0,1,1
"136",135,5710,1,2,1,1200000,0.64,0,1,77,42,53,20,65,18,10,1,0,0.771428571428571,1
"137",136,3584,1,1,1,750000,0.7658,0,1,48,84,3,96,61,33,55,1,0,0,2
"138",137,500,1,2,1,75000,0.9926,0,1,72,64,64,92,86,22,3,1,0,0,1
"139",138,3997,1,1,1,779933,0.5164,2,1,34,16,63,16,90,14,57,0,0,0,1
"140",139,7584,1,36,1,29400,0.809,3,1,7,41,58,90,35,28,38,0,0,1,1.27777777777778
"141",140,2887,1,1,1,10000,1.176,1,0,19,1,26,91,69,4,46,0,0,1,1
"142",141,6252,2,1,1,5e+05,0.6211,0,1,73,44,27,56,22,26,66,1,0,0,1
"144",143,3101,2,1,1.16,180000,1,0,1,64,11,70,93,45,25,41,1,0,0,1
"146",145,12095,2,1,1,1e+06,0.6496,0,1,88,30,88,27,74,33,7,1,0,0.8,1
"148",147,5884,4,1,1,1700000,1.0228,0,1,26,60,34,96,9,67,90,1,0,0,1
"154",153,5309,4,1,1,250000,1.1188,0,1,87,94,74,6,96,82,16,1,0,0,1
"156",155,21835,1,1,1,1e+05,0.9396,1,0,85,27,13,94,58,43,64,0,0,1,1
"157",156,880,1,1,1,1e+05,0.805,0,1,99,48,71,26,76,23,83,1,0,0,1
"158",157,641,1,1,1,1e+06,0.6727,0,1,13,11,32,91,10,66,46,1,0,0,1
"161",160,1070,4,1,1,12000,0.9443,0,1,26,49,58,22,76,1,51,1,0,0,1
"163",162,1604,1,1,1.33,36000,1,0,1,70,97,12,92,47,87,100,1,0,0.963391136801541,1
"164",163,9501,1,1,1,48000,1.3124,0,0,68,73,13,74,91,90,69,1,0,1,1
"165",164,8749,1,1,1,7e+05,0.9349,0,1,66,30,45,46,77,42,54,1,0,0,1
"166",165,1732,1,1,1,1e+05,0.9585,1,0,84,28,38,55,81,35,66,0,0,0,1
"167",166,605,1,1,1.33,90000,1,1,1,53,56,16,88,50,52,97,0,0,0,1
"170",169,28317,1,1,1,306000,0.8675,0,1,43,24,34,28,67,18,21,1,0,1,1
"171",170,11099,1,1,1,1e+05,1.6183,0,1,24,63,26,65,12,21,87,1,0,1,1
"173",172,1625,2,1,1.06,3e+05,1,0,1,42,37,91,20,15,86,21,1,0,0,1
"174",173,6878,1,1,1,5e+05,0.6966,2,1,3,1,33,88,8,3,69,0,0,0.855736910288555,2
"175",174,28164,1,1,1,445000,0.7774,1,1,56,43,12,62,12,25,76,0,0,1,1
"177",176,3083,3,2,0.81,750000,1,1,1,70,87,66,46,78,88,48,0,1,0,1
"180",179,5739,1,1,1,1e+05,0.9585,0,1,41,1,76,70,63,16,13,1,0,1,1
"181",180,8573,1,2,1,5e+05,0.6368,1,1,3,1,34,91,7,3,69,0,0,0.817248539701613,1
"182",181,6133,1,1,1,800001,0.842,0,1,11,1,29,74,20,23,100,1,0,0.749636877003137,1
"183",182,5026,1,1,0.79,9e+05,1,0,1,17,42,7,22,48,39,51,1,0,0,1
"184",183,1789,1,1,1,85000,0.8212,0,1,95,99,54,91,84,95,23,1,1,0,1
"186",185,939,2,1,1,125000,0.7396,0,1,90,95,90,13,29,15,21,1,0,0,1
"187",186,22738,1,1,1,416736,0.7322,3,0,60,54,54,13,40,65,17,0,0,0.998144933042286,1
"188",187,8086,1,2,1,5e+05,0.7697,1,1,11,53,23,92,22,70,63,0,0,0.870476723371957,1
"189",188,450,1,1,1,60000,0.9119,0,1,66,56,28,95,28,87,95,1,0,0,1
"190",189,750,1,1,1.23,80000,1,0,1,95,88,56,83,37,50,96,1,0,0,1
"191",190,9030,1,1,1,29400,0.762,0,1,99,74,30,94,93,72,62,1,1,1,1
"192",191,2712,2,2,1,250000,0.9633,1,1,30,75,33,76,7,83,73,0,1,0,1
"194",193,10625,1,1,1.62,1e+05,1,2,1,58,30,30,94,20,28,81,0,0,1,1
"195",194,1298,1,1,1,4e+05,0.6432,0,0,57,27,59,29,97,33,27,1,0,0,1
"196",195,859,1,1,1,60000,0.7106,0,1,98,70,56,46,91,79,23,1,0,0,1
"197",196,980,1,1,1.06,4e+05,1,0,1,45,100,30,47,69,100,92,1,0,0,1
"198",197,5791,1,1,1,30000,1.2929,0,1,16,32,88,57,11,55,48,1,0,1,1
"199",198,500,1,1,1,90000,0.9349,0,1,49,92,56,20,58,54,66,1,0,0,1
"200",199,2695,1,1,1.11,62000,1,0,1,85,36,50,98,64,38,68,1,1,0.972268441486412,1
"202",201,539,2,1,1,15000,1.1938,0,1,97,13,37,33,97,8,19,1,0,0,1
"203",202,1331,1,1,1,12000,1.4286,0,1,44,40,17,84,55,63,54,1,0,1,1
"204",203,7622,2,1,1,450000,0.5763,1,1,34,95,59,9,16,26,60,0,1,1,1
"206",205,3938,1,2,1,6e+05,0.5593,0,1,27,4,50,67,78,11,70,1,0,0.786866844394556,1
"207",206,7962,2,1,1,820000,0.5088,0,1,57,31,48,47,82,24,23,1,0,0.806517311608961,1
"208",207,7962,2,1,1,820000,0.5088,0,1,57,31,48,47,82,24,23,1,0,0.806517311608961,1
"209",208,7417,1,1,1,46475,1.3591,1,1,49,65,22,89,9,40,76,0,0,1,1
"210",209,1655,1,1,1,5e+05,0.9165,0,1,34,75,38,25,87,65,72,1,0,1,2
"211",210,622,1,1,1,150000,0.6966,0,1,69,35,12,79,33,24,66,1,0,0,1
"212",211,10847,1,2,1,337000,0.7214,0,1,31,49,87,35,5,26,51,1,0,1,1
"213",212,1609,1,1,1,250000,0.7001,0,1,51,90,59,98,44,92,83,1,0,0.849026504484725,1
"214",213,450,1,1,1,60000,0.8462,0,1,47,66,26,94,75,75,76,1,0,0,1
"215",214,500,1,1,1,50000,0.9074,0,1,5,3,49,71,26,17,42,1,0,0,1
"216",215,5471,1,1,1,31200,1.1819,2,1,87,53,20,79,6,24,70,0,0,1,1
"217",216,1378,1,1,1,1e+05,1,0,1,65,21,84,63,50,23,90,1,0,0,1
"218",217,808,1,1,1,50000,1.2865,0,1,67,11,95,70,9,43,11,1,0,0,1
"219",218,2042,1,1,0.83,320000,1,2,1,37,31,72,52,59,13,51,0,0,0.840953093886449,1
"220",219,1155,1,3,0.79,80000,1,0,1,20,92,94,30,19,96,30,1,0,0,1
"221",220,634,2,1,1,325800,0.809,0,1,35,94,6,88,66,61,70,1,0,0,1
"223",222,1387,1,1,1,8e+05,1.1022,0,1,24,75,39,65,67,85,92,1,1,0.702072538860104,1
"224",223,1054,1,1,1,30000,0.949,1,1,64,44,7,78,85,33,72,0,0,0.975221765201447,1
"225",224,1553,3,1,1,250000,1.0228,2,1,82,28,22,25,77,35,92,0,0,0.90243976365796,1
"228",227,17633,1,1,1.23,2e+05,1,0,1,65,13,97,9,21,1,13,1,0,0.73343449671219,1
"229",228,620,1,1,1,35000,1.1819,2,1,59,88,52,30,99,50,38,0,0,1,1
"231",230,3491,2,2,1,1600000,0.8462,0,1,40,71,28,82,44,45,56,1,0,0.74719800747198,2
"232",231,1813,2,1,1,160000,0.8632,0,1,82,62,80,12,25,10,9,1,0,0,1
"236",235,620,3,1,1,250000,0.809,0,1,64,44,26,35,23,26,89,1,0,0,1
"237",236,50693,1,2,1.11,800012,1,1,1,87,36,30,49,19,42,94,0,0,1,1
"239",238,18668,1,1,1,222600,0.8131,5,1,34,66,27,29,87,66,68,0,2,0.999237965880989,1
"240",239,967,2,1,1,50000,0.842,0,1,63,30,29,42,38,19,53,1,0,0,1
"242",241,2964,1,2,1.11,2e+06,1,1,1,31,43,88,30,8,84,12,0,1,0,1
"243",242,3625,1,1,1,6000,1.5472,0,1,66,91,26,92,50,35,90,1,0,0.982776497497425,1
"244",243,2358,1,1,1.11,188000,1,0,1,14,3,43,53,69,2,47,1,0,0,1
"245",244,2707,1,1,1.62,10000,1,0,1,62,35,31,64,95,34,37,1,0,1,1
"246",245,1984,1,1,1.16,120000,1,0,1,17,8,13,30,18,55,36,1,0,0,1
"247",246,450,2,1,1,1e+05,0.9119,0,1,76,43,36,87,69,66,91,1,0,0,1
"249",248,662,1,1,1,60000,1.1819,0,1,12,82,67,44,4,89,47,1,0,0,1
"250",249,7209,1,1,1,250000,0.484,2,1,30,82,59,37,6,5,18,0,0,1,1
"251",250,550,1,1,1,2e+05,0.762,0,1,66,56,28,95,28,87,95,1,0,0,1
"253",252,2255,2,1,1,250001,0.762,0,1,67,7,27,49,75,18,47,1,0,0.843842021665804,2
"254",253,9390,1,1,0.68,252000,1,0,1,75,90,80,93,21,86,43,1,0,0.823496472169336,1
"255",254,2498,1,1,1,1e+05,0.7931,0,1,45,99,39,100,42,75,75,1,0,0,1
"256",255,3402,2,1,1,1e+05,1.2737,0,1,100,94,21,28,96,55,8,1,0,0.75,1
"258",257,7601,1,1,1,56400,1.5706,2,1,34,62,16,31,79,2,23,0,0,0.982864976010966,1
"259",258,12398,1,2,1,25001,1.1644,0,1,41,50,1,98,27,63,51,1,0,1,1
"260",259,11727,2,1,1,250000,1.0434,0,1,88,30,69,29,92,51,13,1,0,0,1
"262",261,1383,1,1,1.16,35000,1,0,1,24,15,55,88,30,7,61,1,0,0,1
"264",263,3533,2,1,1,628000,0.7813,0,1,78,36,42,35,67,7,27,1,0,0.704920810678945,1
"266",265,774,3,1,1,125000,1.5167,0,1,87,19,13,43,96,16,83,1,0,0,1
"269",268,2627,1,1,0.97,4e+05,1,0,1,54,96,65,82,85,95,76,1,0,0,1
"270",269,5215,1,1,1.23,1e+05,1,2,1,66,96,23,87,56,69,98,0,0,0.993540051679587,1
"271",270,12503,1,2,1,1e+05,0.885,0,0,16,69,70,39,27,68,68,1,2,0.994764397905759,1
"272",271,4429,1,1,1,250000,0.8675,0,1,75,72,17,48,49,68,23,1,0,0,1
"273",272,2680,1,1,1,24000,0.5566,0,1,52,97,72,89,86,66,86,1,0,1,1
"274",273,5073,1,1,1,340000,0.8131,0,1,33,45,42,52,69,72,49,1,0,0.747614407486415,1
"275",274,2373,1,1,1,50000,0.949,1,1,69,13,71,40,44,40,72,0,0,0.952548163613932,1
"276",275,941,1,1,1,45000,0.9926,0,1,25,100,61,40,12,100,75,1,0,0,1
"278",277,22093,2,1,1.11,5e+05,1,1,1,11,80,67,55,35,86,74,0,0,1,1
"279",278,2186,1,1,1,350000,0.6694,0,1,16,39,74,53,1,59,49,1,0,0,1
"280",279,4206,1,3,1,6e+05,0.618,1,1,73,37,96,22,62,11,4,0,0,0,1
"281",280,10375,1,1,0.81,1200000,1,0,1,29,99,59,100,31,100,90,1,0,0,1
"282",281,1616,1,1,0.79,48000,1,0,1,51,91,65,100,48,95,52,1,0,1,1
"283",282,7760,1,1,1.11,9e+05,1,0,1,12,33,99,32,46,30,28,1,0,0.915682967959528,1
"284",283,2961,1,1,1.33,78000,1,0,1,49,44,85,46,7,95,19,1,0,1,1
"285",284,6566,1,1,1,50000,0.949,0,1,66,73,19,53,79,73,94,1,0,0.825072886297376,1
"286",285,4203,1,1,1,2e+05,0.809,1,1,1,5,76,22,1,52,37,0,0,0,1
"289",288,4628,1,1,1,395504,0.7582,1,1,63,56,68,21,57,21,74,0,0,0.905117252484798,1
"290",289,500,1,1,0.92,35000,1,1,1,41,72,75,66,25,89,73,0,0,0,1
"291",290,5295,2,1,1,5e+05,0.8212,1,1,59,50,8,75,44,28,65,0,0,0,1
"293",292,3493,2,1,1,80000,1.0697,0,1,46,20,24,95,79,54,93,1,0,0,1
"295",294,8927,1,1,1,79000,1.1133,2,1,81,96,55,99,75,38,9,0,0,1,1
"297",296,10039,3,1,1,4e+05,0.5538,1,1,84,81,15,61,56,65,87,0,0,0,1
"299",298,1936,2,2,1,1e+05,0.5968,0,1,97,80,43,24,100,69,18,1,0,0.6875,1
"301",300,1737,1,1,1.16,38000,1,0,1,96,82,16,68,62,59,100,1,0,1,1
"303",302,13567,2,1,1,204000,1.3864,1,1,19,43,49,41,40,21,21,0,1,1,1
"305",304,3490,2,1,1,4e+05,0.4168,0,1,17,41,30,82,23,43,42,1,0,0,1
"306",305,535,1,1,1,50000,1.1244,1,1,43,86,16,52,80,87,28,0,0,0,1
"307",306,10106,2,1,1,1,1.23,1,1,81,38,21,29,88,36,70,0,1,0.828908112963418,1
"309",308,2875,2,1,1,48000,0.9827,0,1,34,57,32,26,63,50,86,1,0,1,1
"311",310,28422,1,1,1,1e+05,0.809,0,0,70,41,13,50,35,25,81,1,0,1,1
"312",311,1532,1,1,1,50000,0.8378,0,1,2,6,70,45,89,9,45,1,0,0,1
"313",312,4434,1,1,0.79,930000,1,0,0,73,15,82,78,73,50,49,1,0,0,1
"314",313,1394,1,1,1,19000,0.8589,0,1,86,57,74,47,97,56,56,1,0,1,1
"315",314,5245,1,1,1,5e+05,0.6694,0,1,50,92,4,99,61,86,93,1,0,0.525525525525526,1
"316",315,500,1,1,1,70000,0.7774,0,1,38,70,32,87,9,75,75,1,0,0,1
"318",317,2118,3,1,1,80000,0.973,0,1,96,70,54,18,80,77,9,1,0,0.894736842105263,1
"320",319,2320,1,1,1,2e+05,1,0,1,38,63,59,37,94,66,27,1,0,0,1
"321",320,1243,1,2,1.16,1e+05,1,0,1,35,62,95,38,23,59,29,1,0,0,1
"322",321,500,1,1,1,20000,0.801,0,1,63,41,94,21,27,3,18,1,0,0,1
"323",322,25410,1,1,1.11,53400,1,2,1,52,47,31,90,38,41,92,0,0,1,1
"325",324,930,2,1,1,60000,0.5968,0,1,84,21,74,12,58,20,19,1,0,0,1
"330",329,4925,5,1,1,67200,0.8462,1,1,62,29,6,35,62,96,58,0,0,0.988467874794069,1
"331",330,11776,1,1,1,381000,0.7735,0,1,2,79,71,62,12,91,81,1,0,1,1
"332",331,1540,1,1,1,618000,0.9396,0,1,88,65,32,79,84,15,83,1,1,0,1
"333",332,2103,1,1,1.23,520000,1,0,1,53,56,16,88,50,52,97,1,0,0,1
"334",333,3775,1,1,1,1e+05,1.1938,0,1,54,27,14,62,72,46,67,1,0,0,1
"335",334,3566,1,1,1,1,0.9682,0,1,72,76,11,57,90,81,72,1,0,1,1
"336",335,1644,1,1,1,85000,1,0,1,96,61,90,12,48,39,48,1,0,0,1
"337",336,4066,1,2,0.76,11500,1,1,1,1,22,29,68,38,37,14,0,0,1,1
"338",337,500,1,1,1,1e+05,0.9029,1,1,84,28,10,79,82,22,52,0,0,0,1
"339",338,2085,1,1,1,336000,0.7813,0,1,25,65,54,42,51,91,31,1,0,0,1
"340",339,508,2,1,0.94,5e+05,1,0,1,34,75,6,40,28,96,93,1,0,0,1
"341",340,508,2,1,0.94,5e+05,1,0,1,34,75,6,40,28,96,93,1,0,0,1
"342",341,3721,1,1,1,14525,0.5164,3,1,42,23,65,72,78,22,20,0,0,1,1
"343",342,3213,1,1,1,23500,1.3795,0,1,34,94,62,26,54,83,84,1,0,0.997289723172325,1
"345",344,934,2,1,1.03,150000,1,0,1,30,67,71,66,62,81,85,1,0,0,1
"346",345,6114,1,1,1,5e+05,0.9443,0,1,2,45,71,45,1,37,41,1,0,0.592592592592593,1
"347",346,500,1,1,1,25000,1.0228,0,1,79,72,52,80,84,58,62,1,0,0,1
"348",347,5955,1,1,1,88000,0.7071,1,1,66,45,79,58,74,58,45,0,0,1,1
"349",348,1030,1,1,1.16,1e+05,1,0,1,31,56,79,96,43,94,59,1,0,0,1
"350",349,13797,2,1,1,194400,0.6058,0,1,74,54,18,96,89,72,11,1,0,0.926889548153961,1
"352",351,1950,1,1,1,25000,1.2674,0,1,3,85,77,81,13,91,63,1,0,0,1
"353",352,23806,1,5,1,135000,0.6694,0,1,4,2,13,91,54,4,69,1,0,1,1
"355",354,564,2,1,1,44200,1.23,0,1,95,11,36,34,99,78,9,1,0,0,1
"356",355,750,1,1,1.11,1e+05,1,0,1,77,7,36,32,87,19,29,1,0,0,1
"357",356,550,1,1,0.97,25000,1,0,1,38,54,91,28,22,50,15,1,0,0,1
"358",357,500,1,1,1,10000,0.9349,0,1,2,4,50,81,23,29,27,1,0,0,1
"359",358,3043,1,1,1.23,1e+05,1,0,1,72,41,75,23,80,29,49,1,0,0.937428433771126,1
"360",359,1742,1,1,1,75000,0.8589,0,1,71,35,35,65,78,73,88,1,0,0,1
"361",360,2621,1,1,1,5e+05,0.8212,1,1,71,55,21,59,76,83,61,0,0,0.730956848030019,1
"362",361,2916,1,1,1,120000,0.5938,0,1,65,77,52,38,86,71,29,1,0,0.675324675324675,1
"363",362,533,1,1,1,250000,0.9119,0,1,36,87,53,38,51,28,29,1,0,0,1
"364",363,25895,1,1,1,270000,1.1586,2,1,34,10,89,10,55,61,56,0,1,1,1
"365",364,6729,1,1,1,320000,0.551,0,1,77,43,65,41,99,16,33,1,1,0.904876777377415,1
"366",365,4494,1,1,1.16,1e+05,1,1,1,34,25,66,34,54,75,79,0,0,0,1
"367",366,500,1,1,1,755000,1.0538,0,1,5,1,47,83,13,87,87,1,0,0,1
"369",368,1685,3,1,1,850000,0.9349,3,1,6,18,10,53,58,9,84,0,0,0,1
"371",370,1949,1,1,1,4e+05,0.6305,0,1,23,88,55,35,34,37,20,1,0,0,1
"372",371,3510,1,1,0.68,2e+06,1,0,1,34,57,96,45,22,46,33,1,0,0,1
