"","pol_entry_dt","pol_eff_dt"
"253",2017-09-26,2017-12-01
"254",2017-09-26,2017-11-08
"255",2017-09-26,2017-10-17
"256",2017-09-26,2017-09-26
"258",2017-09-26,2017-10-01
"259",2017-09-26,2017-10-11
"260",2017-09-26,2017-11-25
"262",2017-09-26,2017-09-27
"264",2017-09-26,2017-09-28
"266",2017-09-26,2017-10-01
"269",2017-09-26,2017-11-03
"270",2017-09-26,2017-10-01
"271",2017-09-26,2017-10-20
"272",2017-09-26,2017-10-01
"273",2017-09-26,2017-10-01
"274",2017-09-26,2017-10-02
"275",2017-09-26,2017-10-20
"276",2017-09-26,2017-10-29
"278",2017-09-26,2017-09-28
"279",2017-09-26,2017-11-09
"280",2017-09-26,2017-10-15
"281",2017-09-26,2017-10-10
"282",2017-09-26,2017-10-03
"283",2017-09-26,2017-11-15
"284",2017-09-26,2017-09-26
"285",2017-09-26,2017-10-01
"286",2017-09-26,2017-09-26
"289",2017-09-26,2017-11-02
"290",2017-09-26,2017-10-15
"291",2017-09-26,2017-10-01
"293",2017-09-27,2017-09-29
"295",2017-09-27,2017-09-28
"297",2017-09-27,2017-10-07
"299",2017-09-27,2017-11-01
"301",2017-09-27,2017-10-15
"303",2017-09-27,2017-09-28
"305",2017-09-27,2017-10-01
"306",2017-09-27,2017-11-20
"307",2017-09-27,2017-10-28
"309",2017-09-27,2017-10-08
"311",2017-09-27,2017-10-02
"312",2017-09-27,2017-10-01
"313",2017-09-27,2017-10-05
"314",2017-09-27,2017-10-05
"315",2017-09-27,2017-09-27
"316",2017-09-27,2017-09-27
"318",2017-09-27,2017-11-26
"320",2017-09-27,2017-09-29
"321",2017-09-27,2017-09-27
"322",2017-09-27,2017-10-01
"323",2017-09-27,2017-11-01
"325",2017-09-27,2017-10-30
"330",2017-09-27,2017-10-01
"331",2017-09-27,2017-10-16
"332",2017-09-27,2017-10-19
"333",2017-09-27,2017-10-31
"334",2017-09-27,2017-10-04
"335",2017-09-27,2017-09-30
"336",2017-09-27,2017-09-29
"337",2017-09-27,2017-10-04
"338",2017-09-27,2017-09-27
"339",2017-09-27,2017-09-29
"340",2017-09-27,2017-10-01
"341",2017-09-27,2017-10-01
"342",2017-09-27,2017-10-06
"343",2017-09-27,2017-10-09
"345",2017-09-27,2017-10-02
"346",2017-09-27,2017-09-27
"347",2017-09-27,2017-09-27
"348",2017-09-27,2017-11-15
"349",2017-09-27,2017-09-27
"350",2017-09-27,2017-10-08
"352",2017-09-27,2017-09-27
"353",2017-09-27,2018-01-25
"355",2017-09-27,2017-09-27
"356",2017-09-27,2017-09-27
"357",2017-09-27,2017-09-27
"358",2017-09-27,2017-09-27
"359",2017-09-27,2017-10-20
"360",2017-09-27,2017-09-30
"361",2017-09-27,2017-10-01
"362",2017-09-27,2017-12-01
"363",2017-09-27,2017-09-27
"364",2017-09-27,2017-10-01
"365",2017-09-27,2017-10-11
"366",2017-09-27,2017-10-01
"367",2017-09-27,2017-09-26
